County,,POP_2020,POP_2021,POP_2022,College ED. (1980),College ED. (1990),College ED. (2000),College ED. (2010),College ED. (2020),Number of Beds
PA,,,,,,,,,,
Adams County,,103779,105632,106027,8.1,13.2,16.7,19.3,24,76
Allegheny County,,1249524,1245445,1233253,12.1,22.6,28.3,35.1,43.3,4333
Armstrong County,,65459,65138,64747,7.1,8.1,10.4,14.3,18.5,145
Beaver County,,167860,166914,165677,10.6,11.9,15.8,20.9,25.9,222
Bedford County,,47569,47495,47418,7,7.8,10.2,12.1,15.8,22
Berks County,,428631,429612,430449,8.7,15.1,18.5,22.3,25.9,827
Blair County,,122651,122181,121032,9,10.5,13.9,17.9,23.2,416
Bradford County,,59969,60099,59866,9.9,12.9,14.8,16.4,19.5,300
Bucks County,,646112,647159,645054,14.2,24.8,31.2,35.1,42.9,979
Butler County,,194056,196789,197300,12.4,15.6,23.5,29.7,38.2,294
Cambria County,,133199,132281,131441,8.1,10.8,13.7,17.9,22.4,508
Cameron County,,4531,4461,4418,10.8,9.8,12.1,13.9,10.6,0
Carbon County,,64744,65460,65460,8,8.4,11,15.5,17.7,110
Centre County,,157962,157990,158425,11.6,32.3,36.3,39.9,45.9,260
Chester County,,534783,540864,545823,14.5,34.7,42.5,48.3,55.2,859
Clarion County,,37193,37581,37346,9.1,11.7,15.3,18.3,22.1,65
Clearfield County,,80438,78333,77904,8,8.6,11.1,12.9,18.4,259
Clinton County,,37380,38035,37931,8.8,11.7,13.4,17.1,19.3,41
Columbia County,,64682,64980,64926,9,12.5,15.8,20,24.8,152
Crawford County,,83797,83202,82670,10.7,11.8,14.7,18.6,20.2,225
Cumberland County,,260223,265593,268579,13,22.9,27.9,32.4,38.2,398
Dauphin County,,286685,288187,288800,11.7,18.6,23.5,27.5,32.3,1166
Delaware County,,576323,576772,575182,13.2,24.8,30,34.9,40.5,863
Elk County,,30926,30771,30477,8.4,9.5,12.3,15.7,18.8,35
Erie County,,270539,269300,267689,11.7,16.2,20.9,24.2,28.8,900
Fayette County,,128569,127113,125755,7.1,9.3,11.5,14,17.9,168
Forest County,,6959,6896,6626,7.1,7.9,8.9,9.2,11.2,0
Franklin County,,155939,156589,156902,8.3,12.4,14.8,19.3,23,342
Fulton County,,14572,14509,14533,5.9,7.4,9.3,11.3,15.7,21
Greene County,,35859,35269,34663,7.3,11.3,12.2,15,18,23
Huntingdon County,,44047,43937,43281,7.8,9.4,11.9,13.7,17.5,59
Indiana County,,83142,83158,82957,8.8,14.4,17,21.1,25.7,166
Jefferson County,,44478,44142,43794,8.5,8.9,11.7,12.6,16.4,81
Juniata County,,23471,23348,23339,6,7.3,8.8,11.2,14.5,0
Lackawanna County,,215523,215957,215615,12,14.8,19.6,25.1,29.4,575
Lancaster County,,552761,556049,556629,9.4,16.7,20.5,23.5,29.7,813
Lawrence County,,85959,85554,84849,9.9,11.8,15.1,19.4,21.5,90
Lebanon County,,143282,143809,144011,7.4,11.8,15.4,19.1,22.1,159
Lehigh County,,374477,375760,376317,12,19.6,23.3,27.4,31.5,1708
Luzerne County,,325197,325889,326369,10,13.1,16.4,20.5,24,753
Lycoming County,,114108,113595,113104,11.7,12.3,15.1,18.6,24.3,278
McKean County,,40392,40292,39866,10.1,12.2,14,15.2,19.5,0
Mercer County,,110534,109950,109220,9.7,13.6,17.3,20,23.1,330
Mifflin County,,46144,46187,45988,7,8.7,10.9,11.2,13.3,167
Monroe County,,168316,168629,167198,12.3,17.6,20.5,23.2,26.1,362
Montgomery County,,856938,864022,864683,14.5,32.1,38.7,45.1,50.7,2070
Montour County,,18129,18103,18091,9.3,18.7,22.1,26,35.6,538
Northampton County,,312774,318051,318526,10.5,16.7,21.2,26.6,32.8,361
Northumberland County,,91542,91013,90133,6.5,8.6,11.1,13.8,17.8,0
Perry County,,45828,45941,46114,7.8,8.9,11.3,15.2,17.9,0
Philadelphia County,,1600600,1589480,1567258,9.3,15.2,17.9,23.2,32.5,5035
Pike County,,58560,59965,60558,12.9,14.7,19,22.6,26.8,0
Potter County,,16385,16287,16220,10.8,9.8,12.3,13.6,16.3,25
Schuylkill County,,142946,143201,143104,6.8,8.1,10.7,14,17.8,275
Snyder County,,39727,39742,39652,8.4,10.6,12.5,15.7,21.6,0
Somerset County,,74016,72999,72710,6.5,8.9,10.8,14,16.9,185
Sullivan County,,5823,5859,5855,7.9,8.6,12.8,13,17.9,0
Susquehanna County,,38334,38363,38074,10.3,11.1,13.2,16.1,19.4,50
Tioga County,,41014,41335,41106,10.2,12.6,14.2,18,20.7,25
Union County,,42639,42419,42744,9.7,17.5,18,22.1,26.1,132
Venango County,,50354,50038,49777,9.4,10.8,13.1,14.7,19.4,151
Warren County,,38516,38115,37808,10.5,10.7,14.2,17.2,19.5,85
Washington County,,209382,210012,210383,9.6,13.6,18.8,25,31.7,380
Wayne County,,51151,51195,51173,10.8,13.1,14.6,18.4,19.6,106
Westmoreland County,,354316,353765,352057,10.4,15.4,20.2,24.7,30.8,499
Wyoming County,,26030,26100,26014,11.5,13.2,15.4,17.6,20.9,12
York County,,456692,459148,461058,9.6,13.9,18.4,21.6,25.8,773
OH,,,,,,,,,,
Adams County,,27440,27513,27420,3,5.4,7.2,10.7,16,0
Allen County,,102107,101792,101115,6.9,10,13.4,16.5,19.1,478
Ashland County,,52468,52340,52181,9.2,12.4,15.9,19.2,22.2,39
Ashtabula County,,97516,97452,97014,5.5,8.1,11.1,13,15.1,218
Athens County,,62371,59086,58979,14.8,20.3,25.7,28.3,34.1,64
Auglaize County,,46461,46240,45948,5.1,8.4,13.4,16.4,20.1,36
Belmont County,,66283,65895,65509,4.2,7.5,11.1,13.9,16,0
Brown County,,43671,43690,43680,3.9,7,8.8,10.4,14.6,0
Butler County,,390872,387791,388420,8.5,14.1,23.5,26.8,31.8,336
Carroll County,,26697,26671,26659,4.3,6.2,9.1,11.4,14.1,0
Champaign County,,38734,38782,38709,4.7,8.7,10.6,15.2,16.7,0
Clark County,,135879,135747,134831,7.2,10.6,14.9,17,18.9,254
Clermont County,,208738,209867,210805,5.5,10.4,20.8,25.4,29.5,146
Clinton County,,42023,42100,41964,7.7,10.8,14.1,13.9,20.1,75
Columbiana County,,101634,101250,100511,4.8,8.5,10.8,13,15.7,219
Coshocton County,,36578,36614,36571,5.1,8.9,9.8,11.8,17.1,56
Crawford County,,42003,41797,41522,6.4,7.6,9.7,11.2,15.7,4791
Cuyahoga County,,1262523,1247808,1236041,11.1,15.7,25.1,29.1,34.4,40
Darke County,,51897,51645,51529,4.8,7.8,10.1,11.5,16.7,40
Defiance County,,38254,38216,38187,7,11,14.3,16.4,19.2,23
Delaware County,,215139,221186,226296,11.5,18.6,41,49.8,57.1,64
Erie County,,75475,74918,74501,8,11.4,16.6,20.3,25.2,183
Fairfield County,,159443,161182,162898,6.3,11.5,20.8,25.8,30.2,213
Fayette County,,28971,28929,28839,4.6,7.3,10.7,13.4,14.7,0
Franklin County,,1324357,1317560,1321820,14.5,21.2,31.8,36,41.2,3700
Fulton County,,42643,42473,42171,5.4,9.3,13.2,16.7,17.6,0
Gallia County,,29241,29220,29068,5,8.8,11.6,15.3,17.2,157
Geauga County,,95347,95649,95469,14.5,20.5,31.7,34.8,38.4,124
Greene County,,168119,167628,168456,14.7,21.1,31.1,35.4,41.1,178
Guernsey County,,38415,38263,38098,4.6,8.2,10,12.7,14.8,90
Hamilton County,,830320,827501,825037,12.7,18.7,29.2,33.2,39.6,2557
Hancock County,,74930,74775,74861,10.8,14.7,21.7,24.6,28,141
Hardin County,,30724,30446,30416,7.4,10.4,11.4,14,16.4,0
Harrison County,,14486,14476,14378,3.9,5.5,9,7.8,12.2,0
Henry County,,27663,27555,27512,5.4,7.8,11.1,13.3,17.7,0
Highland County,,43359,43423,43391,4.1,6.8,9.7,11.1,14.1,0
Hocking County,,28039,28126,27858,5.1,7.2,9.8,12.8,14.8,0
Holmes County,,44226,44374,44390,2.9,6.7,8.3,8.3,10.5,41
Huron County,,58485,58431,58218,6,8.9,10.9,12.4,15,78
Jackson County,,32669,32518,32586,4.4,7.8,11,14,15.1,0
Jefferson County,,65171,65111,64330,4.8,7.6,11.8,14.8,18.3,171
Knox County,,62783,62547,63183,8.4,10.7,16.7,20.4,22.7,65
Lake County,,232508,232223,231842,8.9,14.2,21.5,24.8,28.9,312
Lawrence County,,58136,57400,56653,4.2,6.5,10.3,14.9,16.9,8
Licking County,,178769,179962,181359,7.4,11.2,18.4,22,28.6,219
Logan County,,46106,46129,46040,4.2,8.7,11.5,15.3,17.9,39
Lorain County,,313495,314165,316268,7.1,10.9,16.6,21.2,26,503
Lucas County,,430834,429360,426643,9.4,14,21.3,22.9,27.5,1632
Madison County,,43853,44404,43540,4.6,7.4,13,17.6,20,45
Mahoning County,,228005,226443,225636,7.3,10.8,17.5,21,24.9,613
Marion County,,65399,65311,64642,5.9,9.9,11.1,12.1,13.1,174
Medina County,,182636,183338,183512,8.3,15.4,24.8,29.9,35,129
Meigs County,,22149,22085,21969,2.9,6,7.4,11.4,12.4,0
Mercer County,,42526,42369,42348,5.8,8.3,12.7,16.1,20.4,42
Miami County,,108950,109386,110247,6.9,10.6,16.3,20.3,24.3,119
Monroe County,,13349,13324,13234,4,5.4,8.4,10.5,12.6,0
Montgomery County,,537093,536169,533892,11.2,16,22.8,24.4,29.2,1850
Morgan County,,13756,13689,13668,3.6,6,9.1,7.7,10.9,0
Morrow County,,34973,35197,35339,4,6.5,9.5,13.5,15,0
Muskingum County,,86450,86574,86113,5.9,8.5,12.6,13.8,18.2,282
Noble County,,14086,14312,14335,3.7,5.9,8.1,8.9,12.1,0
Ottawa County,,40287,40156,39978,6.3,9.2,16,20.3,26,0
Paulding County,,18805,18886,18757,4.1,5.4,7.8,12.5,16.2,0
Perry County,,35448,35454,35480,2.8,6.3,6.9,10.1,13.4,0
Pickaway County,,58646,58770,60023,5.9,8.5,11.4,15.9,19.6,83
Pike County,,27069,27059,27005,6.7,8.6,9.7,12.7,14.7,0
Portage County,,161833,158978,161745,12.3,15.1,21,24.6,30.1,191
Preble County,,41001,40894,40596,5.1,7.6,10.1,11.9,18.4,0
Putnam County,,34395,34353,34334,5,7.3,12.9,19.7,24.8,0
Richland County,,124962,125327,125319,6.4,10.1,12.6,15,17.8,254
Ross County,,77064,76540,76606,5.8,8.7,11.3,13.7,16.9,189
Sandusky County,,58865,58763,58667,5.4,9.2,11.9,13.3,18.1,152
Scioto County,,73844,73012,72194,4.6,7.1,10.1,14,16.4,199
Seneca County,,55051,54954,54632,6.4,9.2,12.5,15.7,17.9,45
Shelby County,,48138,48030,47671,5.7,8.5,12.8,13.8,19.1,61
Stark County,,374486,373659,372657,7.1,11.3,17.9,20.7,23.6,792
Summit County,,539792,537247,535882,10.5,15.5,25.1,29.4,33.9,1125
Trumbull County,,201672,201444,200643,6.5,10,14.5,16.4,19.3,329
Tuscarawas County,,93183,92608,91937,4.6,7.8,12.2,14.7,18.4,128
Union County,,63089,65110,66898,6.7,10.3,15.9,27.8,37.8,60
Van Wert County,,28919,28776,28769,5.4,7.5,12,15,16.7,61
Vinton County,,12804,12707,12565,4.5,5.5,6,7.9,13.1,0
Warren County,,243201,246822,249778,5.9,11.3,28.4,36.9,44.1,217
Washington County,,59644,59459,58901,7.8,11.4,15,15.9,19.8,188
Wayne County,,116906,116129,116559,8.7,12.6,17.2,19.4,23.4,104
Williams County,,37077,36743,36652,6.3,8.3,10.7,12.9,14.6,75
Wood County,,132248,130331,131592,11.3,18.6,26.2,29.4,36.3,103
Wyandot County,,21861,21704,21567,4.2,8.7,9.8,13.2,19.4,0
